province_name,area_in_km2
ACEH,57596
SUMATERA UTARA,72981
SUMATERA BARAT,42012
RIAU,87023
JAMBI,50058
SUMATERA SELATAN,91592
BENGKULU,19919
LAMPUNG,34623
KEPULAUAN BANGKA BELITUNG,16424
KEPULAUAN RIAU,8201
DKI JAKARTA,664
JAWA BARAT,35377
JAWA TENGAH,32800
DI YOGYAKARTA,3133
JAWA TIMUR,47803
BANTEN,9662
BALI,5780
NUSA TENGGARA BARAT,18572
NUSA TENGGARA TIMUR,48718
KALIMANTAN BARAT,147307
KALIMANTAN TENGAH,153564
KALIMANTAN SELATAN,38744
KALIMANTAN TIMUR,129066
KALIMANTAN UTARA,75467
SULAWESI UTARA,13892
SULAWESI TENGAH,61841
SULAWESI SELATAN,46717
SULAWESI TENGGARA,38067
GORONTALO,11257
SULAWESI BARAT,16787
MALUKU,46914
MALUKU UTARA,31982
PAPUA BARAT,102955
PAPUA,319036
