school_data_name,bps_name
Aceh,ACEH
Sumatera Utara,SUMATERA UTARA
Sumatera Barat,SUMATERA BARAT
Riau,RIAU
Jambi,JAMBI
Sumatera Selatan,SUMATERA SELATAN
Bengkulu,BENGKULU
Lampung,LAMPUNG
Bangka Belitung,KEPULAUAN BANGKA BELITUNG
Kepulauan Riau,KEPULAUAN RIAU
D.K.I. Jakarta,DKI JAKARTA
Jawa Barat,JAWA BARAT
Jawa Tengah,JAWA TENGAH
D.I. Yogyakarta,DI YOGYAKARTA
Jawa Timur,JAWA TIMUR
Banten,BANTEN
Bali,BALI
Nusa Tenggara Barat,NUSA TENGGARA BARAT
Nusa Tenggara Timur,NUSA TENGGARA TIMUR
Kalimantan Barat,KALIMANTAN BARAT
Kalimantan Tengah,KALIMANTAN TENGAH
Kalimantan Selatan,KALIMANTAN SELATAN
Kalimantan Timur,KALIMANTAN TIMUR
Kalimantan Utara,KALIMANTAN UTARA
Sulawesi Utara,SULAWESI UTARA
Sulawesi Tengah,SULAWESI TENGAH
Sulawesi Selatan,SULAWESI SELATAN
Sulawesi Tenggara,SULAWESI TENGGARA
Gorontalo,GORONTALO
Sulawesi Barat,SULAWESI BARAT
Maluku,MALUKU
Maluku Utara,MALUKU UTARA
Papua Barat,PAPUA BARAT
Papua,PAPUA
