province_name,education_age_population
INDONESIA,88360395
ACEH,1939402
SUMATERA UTARA,5381416
SUMATERA BARAT,1884231
RIAU,2375941
JAMBI,1232388
SUMATERA SELATAN,2972058
BENGKULU,694000
LAMPUNG,3019981
KEPULAUAN BANGKA BELITUNG,490145
KEPULAUAN RIAU,744183
DKI JAKARTA,3235408
JAWA BARAT,15811260
JAWA TENGAH,10915146
DI YOGYAKARTA,1022798
JAWA TIMUR,11585929
BANTEN,4107582
BALI,1255027
NUSA TENGGARA BARAT,1929140
NUSA TENGGARA TIMUR,2084555
KALIMANTAN BARAT,1880198
KALIMANTAN TENGAH,907028
KALIMANTAN SELATAN,1439666
KALIMANTAN TIMUR,1281572
KALIMANTAN UTARA,245639
SULAWESI UTARA,808069
SULAWESI TENGAH,1075344
SULAWESI SELATAN,3029262
SULAWESI TENGGARA,1001542
GORONTALO,396635
SULAWESI BARAT,545381
MALUKU,661538
MALUKU UTARA,481280
PAPUA BARAT,408837
PAPUA,1517814
